# p31 sites — machine-readable ledger (tools/string_sites.py --p31-tsv); consumed by lower.py --strings-sites
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=1d3baaf6487a8e3faf4c900e49dbcaae6ddbe1e7f996a47b161c74b502b43477
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir
7015DB75	WCMV	7015DB6C	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DB6C 7015DB6E 7015DB6F 7015DB71 7015DB73	[@wp(ac3, 120), 57 varying] = [@0x7015D69D:0, "Cast\x0A\x0BThere no non-attack spells available at this time.\x0A"]
7015DB8B	WCMV	7015DB82	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DB82 7015DB84 7015DB85 7015DB87 7015DB89	[@wp(ac3, 72), 37 varying] = [@0x7015D689:0, "Cast\x0A\x0BHit space bar at spell to cast\x0A"]
7015DBEF	WCMV	7015DBBD	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+16*N[(fp+6)]-0XFEAFBB8)]+2) is not a constant or a length word		
7015DC13	WCMV	7015DC0A	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DC0A 7015DC0C 7015DC0D 7015DC0F 7015DC11	[@wp(ac3, 50), 6 varying] = [@0x7015D683:0, "\x0A\x0B\x0A\x0B\x17\x17"]
7015DC55	WCMV	7015DC4C	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DC4C 7015DC4E 7015DC4F 7015DC51 7015DC53	[@wp(ac3, 50), 5 varying] = [@0x7015D67D:0, "Fight"]
7015DC69	WCMV	7015DC60	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DC60 7015DC62 7015DC63 7015DC65 7015DC67	[@wp(ac3, 50), 9 varying] = [@0x7015D6C3:0, "\x0A\x0B\x0A\x0B\x0A\x0B\x17\x17\x17"]
7015DD54	WCMV	7015DD4B	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DD4B 7015DD4D 7015DD4E 7015DD50 7015DD52	[@wp(ac3, 120), 45 varying] = [@0x7015D665:0, "\x0A\x0BThe black knight has destroyed your sword.\x0A"]
7015DEA9	WCMV	7015DEA0	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DEA0 7015DEA2 7015DEA3 7015DEA5 7015DEA7	[@wp(ac3, 72), 36 varying] = [@0x7015D653:0, "\x0A\x0BThe staff of death has no effect.\x0A"]
7015DEBF	WCMV	7015DEB6	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DEB6 7015DEB8 7015DEB9 7015DEBB 7015DEBD	[@wp(ac3, 158), 75 varying] = [@0x7015D62D:0, "\x0A\x0BThe staff of death suddenly shoots an energy ray, killing your opponent.\x0A"]
7015DF37	WCMV	7015DF2E	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DF2E 7015DF30 7015DF31 7015DF33 7015DF35	[@wp(ac3, 120), 54 varying] = [@0x7015D611:0, "\x0A\x0BAlbion can not be attacked without the magic shard!\x0A"]
7015DF7D	WCMV	7015DF74	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DF74 7015DF76 7015DF77 7015DF79 7015DF7B	[@wp(ac3, 120), 58 varying] = [@0x7015D5F3:0, "\x0A\x0BLoric can not be attacked without the sceptor of Loric!\x0A"]
7015DFD2	WCMV	7015DFA0	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+50)]+41) is not a constant or a length word		
7015E0AA	WCMV	7015E0A1	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015E0A1 7015E0A3 7015E0A4 7015E0A6 7015E0A8	[@wp(ac3, 50), 27 varying] = [@0x7015D5CF:0, "\x0A\x0BHis shield protects him.\x0A"]
7015E0CC	WCMV	7015E0C3	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015E0C3 7015E0C5 7015E0C6 7015E0C8 7015E0CA	[@wp(ac3, 50), 27 varying] = [@0x7015D5CF:0, "\x0A\x0BHis shield protects him.\x0A"]
7015E0E1	WCMV	7015E0D8	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015E0D8 7015E0DA 7015E0DB 7015E0DD 7015E0DF	[@wp(ac3, 120), 43 varying] = [@0x7015D5B9:0, "\x0A\x0BYour attack has been successfully dodged\x0A"]
7015E166	WCMV	7015E129	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+11*N[(+686*W[(ac1@entry+10)]+W[0x70000210]+42)]-0XFEAE09C)]+23) is not a constant or a length word		
7015E2C3	WCMV	7015E286	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+12*N[(W[(fp-6)]+7)]-0XFFFFD9A)]+23) is not a constant or a length word		
